track,note,volume,start,duration
2,40,80,0,720
2,40,80,720,120
2,43,80,960,120
2,40,80,1320,120
2,38,80,1680,240
2,36,80,1920,960
2,35,80,2880,960
2,40,80,3840,720
2,40,80,4560,120
2,43,80,4800,120
2,40,80,5160,120
2,38,80,5520,240
2,36,80,5760,960
2,35,80,6720,960
2,40,80,7680,720
3,44,80,7680,480
3,41,80,7680,480
3,35,80,7680,480
3,44,80,8160,480
3,41,80,8160,480
3,35,80,8160,480
2,40,80,8400,120
2,43,80,8640,120
3,44,80,8640,480
3,41,80,8640,480
3,35,80,8640,480
2,40,80,9000,120
3,44,80,9120,480
3,41,80,9120,480
3,35,80,9120,480
2,38,80,9360,240
2,36,80,9600,960
3,44,80,9600,480
3,41,80,9600,480
3,35,80,9600,480
3,44,80,10080,480
3,41,80,10080,480
3,35,80,10080,480
2,35,80,10560,960
3,44,80,10560,480
3,41,80,10560,480
3,35,80,10560,480
3,44,80,11040,480
3,41,80,11040,480
3,35,80,11040,480
2,40,80,11520,720
3,44,80,11520,480
3,41,80,11520,480
3,35,80,11520,480
3,44,80,12000,480
3,41,80,12000,480
3,35,80,12000,480
2,40,80,12240,120
2,43,80,12480,120
3,44,80,12480,480
3,41,80,12480,480
3,35,80,12480,480
2,40,80,12840,120
3,44,80,12960,480
3,41,80,12960,480
3,35,80,12960,480
2,38,80,13200,240
2,36,80,13440,960
3,44,80,13440,480
3,41,80,13440,480
3,35,80,13440,480
3,44,80,13920,480
3,41,80,13920,480
3,35,80,13920,480
2,35,80,14400,960
3,44,80,14400,480
3,41,80,14400,480
3,35,80,14400,480
3,44,80,14880,480
3,41,80,14880,480
3,35,80,14880,480
2,40,80,15360,720
3,44,80,15360,480
3,41,80,15360,480
3,35,80,15360,480
3,44,80,15840,480
3,41,80,15840,480
3,35,80,15840,480
2,40,80,16080,120
2,43,80,16320,120
3,44,80,16320,480
3,41,80,16320,480
3,35,80,16320,480
2,40,80,16680,120
3,44,80,16800,480
3,41,80,16800,480
3,35,80,16800,480
2,38,80,17040,240
2,36,80,17280,960
3,44,80,17280,480
3,41,80,17280,480
3,35,80,17280,480
3,44,80,17760,480
3,41,80,17760,480
3,35,80,17760,480
2,35,80,18240,960
3,44,80,18240,480
3,41,80,18240,480
3,35,80,18240,480
3,44,80,18720,480
3,41,80,18720,480
3,35,80,18720,480
2,40,80,19200,720
3,44,80,19200,480
3,41,80,19200,480
3,35,80,19200,480
3,44,80,19680,480
3,41,80,19680,480
3,35,80,19680,480
2,40,80,19920,120
2,43,80,20160,120
3,44,80,20160,480
3,41,80,20160,480
3,35,80,20160,480
2,40,80,20520,120
3,44,80,20640,480
3,41,80,20640,480
3,35,80,20640,480
2,38,80,20880,240
2,36,80,21120,960
3,44,80,21120,480
3,41,80,21120,480
3,35,80,21120,480
3,44,80,21600,480
3,41,80,21600,480
3,35,80,21600,480
2,35,80,22080,960
3,44,80,22080,480
3,41,80,22080,480
3,35,80,22080,480
3,44,80,22560,480
3,41,80,22560,480
3,35,80,22560,480
2,40,80,23040,720
3,44,80,23040,480
3,41,80,23040,480
3,35,80,23040,480
3,44,80,23520,480
3,41,80,23520,480
3,35,80,23520,480
2,40,80,23760,120
2,43,80,24000,120
3,44,80,24000,480
3,41,80,24000,480
3,35,80,24000,480
2,40,80,24360,120
3,44,80,24480,480
3,41,80,24480,480
3,35,80,24480,480
2,38,80,24720,240
2,36,80,24960,960
3,44,80,24960,480
3,41,80,24960,480
3,35,80,24960,480
3,44,80,25440,480
3,41,80,25440,480
3,35,80,25440,480
2,35,80,25920,960
3,44,80,25920,480
3,41,80,25920,480
3,35,80,25920,480
3,44,80,26400,480
3,41,80,26400,480
3,35,80,26400,480
2,40,80,26880,720
3,44,80,26880,480
3,41,80,26880,480
3,35,80,26880,480
3,44,80,27360,480
3,41,80,27360,480
3,35,80,27360,480
2,40,80,27600,120
2,43,80,27840,120
3,44,80,27840,480
3,41,80,27840,480
3,35,80,27840,480
2,40,80,28200,120
3,44,80,28320,480
3,41,80,28320,480
3,35,80,28320,480
2,38,80,28560,240
2,36,80,28800,960
3,44,80,28800,480
3,41,80,28800,480
3,35,80,28800,480
3,44,80,29280,480
3,41,80,29280,480
3,35,80,29280,480
2,35,80,29760,960
3,44,80,29760,480
3,41,80,29760,480
3,35,80,29760,480
3,44,80,30240,480
3,41,80,30240,480
3,35,80,30240,480
2,40,80,30720,720
3,44,80,30720,480
3,35,80,30720,480
3,44,80,31200,480
3,38,80,31200,480
2,40,80,31440,120
2,43,80,31680,120
