track,note,volume,start,duration
2,65,72,0,240
3,45,72,0,240
2,62,72,240,240
2,57,72,480,240
3,41,72,480,240
2,62,72,720,240
3,45,72,720,240
2,65,72,960,240
3,41,72,960,240
2,62,72,1200,240
2,57,72,1440,240
3,35,72,1440,240
2,62,72,1680,240
2,65,72,1920,240
3,45,72,1920,240
2,60,72,2160,240
2,57,72,2400,240
3,41,72,2400,240
2,60,72,2640,240
3,45,72,2640,240
2,65,72,2880,240
3,41,72,2880,240
2,60,72,3120,240
2,57,72,3360,240
3,35,72,3360,240
2,60,72,3600,240
2,64,72,3840,240
3,45,72,3840,240
2,61,72,4080,240
2,57,72,4320,240
3,41,72,4320,240
2,61,72,4560,240
3,45,72,4560,240
2,64,72,4800,240
3,41,72,4800,240
2,61,72,5040,240
2,57,72,5280,240
3,35,72,5280,240
2,61,72,5520,240
2,64,72,5760,240
3,45,72,5760,240
2,61,72,6000,240
2,57,72,6240,240
3,41,72,6240,240
2,61,72,6480,240
3,45,72,6480,240
2,64,72,6720,240
3,38,72,6720,240
2,61,72,6960,240
3,38,72,6960,240
2,57,72,7200,240
3,38,72,7200,240
2,61,72,7440,240
3,38,72,7440,240
1,74,72,7680,1440
2,65,72,7680,240
3,46,72,7680,120
3,35,72,7680,120
3,46,72,7800,120
2,62,72,7920,240
3,46,72,7920,120
3,46,72,8040,120
2,57,72,8160,240
3,46,72,8160,120
3,38,72,8160,120
3,46,72,8280,120
2,62,72,8400,240
3,46,72,8400,120
3,46,72,8520,120
2,65,72,8640,240
3,46,72,8640,120
3,35,72,8640,120
3,46,72,8760,120
2,62,72,8880,240
3,46,72,8880,120
3,46,72,9000,120
1,76,72,9120,480
2,57,72,9120,240
3,46,72,9120,120
3,38,72,9120,120
3,46,72,9240,120
2,62,72,9360,240
3,46,72,9360,120
3,46,72,9480,120
1,77,72,9600,1920
2,65,72,9600,240
3,46,72,9600,120
3,35,72,9600,120
3,46,72,9720,120
2,62,72,9840,240
3,46,72,9840,120
3,46,72,9960,120
2,57,72,10080,240
3,46,72,10080,120
3,38,72,10080,120
3,46,72,10200,120
2,62,72,10320,240
3,46,72,10320,120
3,46,72,10440,120
2,65,72,10560,240
3,46,72,10560,120
3,35,72,10560,120
3,46,72,10680,120
2,62,72,10800,240
3,46,72,10800,120
3,46,72,10920,120
2,57,72,11040,240
3,46,72,11040,120
3,38,72,11040,120
3,46,72,11160,120
2,62,72,11280,240
3,46,72,11280,120
3,46,72,11400,120
1,81,72,11520,720
2,65,72,11520,240
3,46,72,11520,120
3,35,72,11520,120
3,46,72,11640,120
2,60,72,11760,240
3,46,72,11760,120
3,46,72,11880,120
2,57,72,12000,240
3,46,72,12000,120
3,38,72,12000,120
3,46,72,12120,120
1,79,72,12240,720
2,60,72,12240,240
3,46,72,12240,120
3,46,72,12360,120
2,65,72,12480,240
3,46,72,12480,120
3,35,72,12480,120
3,46,72,12600,120
2,60,72,12720,240
3,46,72,12720,120
3,46,72,12840,120
1,81,72,12960,480
2,57,72,12960,240
3,46,72,12960,120
3,38,72,12960,120
3,46,72,13080,120
2,60,72,13200,240
3,46,72,13200,120
3,46,72,13320,120
1,72,72,13440,1920
2,65,72,13440,240
3,46,72,13440,120
3,35,72,13440,120
3,46,72,13560,120
2,60,72,13680,240
3,46,72,13680,120
3,46,72,13800,120
2,57,72,13920,240
3,46,72,13920,120
3,38,72,13920,120
3,46,72,14040,120
2,60,72,14160,240
3,46,72,14160,120
3,46,72,14280,120
2,65,72,14400,240
3,46,72,14400,120
3,35,72,14400,120
3,46,72,14520,120
2,60,72,14640,240
3,46,72,14640,120
3,46,72,14760,120
2,57,72,14880,240
3,46,72,14880,120
3,38,72,14880,120
3,46,72,15000,120
2,60,72,15120,240
3,46,72,15120,120
3,46,72,15240,120
1,74,72,15360,1440
2,65,72,15360,240
3,46,72,15360,120
3,35,72,15360,120
3,46,72,15480,120
2,62,72,15600,240
3,46,72,15600,120
3,46,72,15720,120
2,58,72,15840,240
3,46,72,15840,120
3,38,72,15840,120
3,46,72,15960,120
2,62,72,16080,240
3,46,72,16080,120
3,46,72,16200,120
2,65,72,16320,240
3,46,72,16320,120
3,35,72,16320,120
3,46,72,16440,120
2,62,72,16560,240
3,46,72,16560,120
3,46,72,16680,120
1,76,72,16800,480
2,58,72,16800,240
3,46,72,16800,120
3,38,72,16800,120
3,46,72,16920,120
2,62,72,17040,240
3,46,72,17040,120
3,46,72,17160,120
1,77,72,17280,960
2,67,72,17280,240
3,46,72,17280,120
3,35,72,17280,120
3,46,72,17400,120
2,64,72,17520,240
3,46,72,17520,120
3,46,72,17640,120
2,60,72,17760,240
3,46,72,17760,120
3,38,72,17760,120
3,46,72,17880,120
2,64,72,18000,240
3,46,72,18000,120
3,46,72,18120,120
1,76,72,18240,960
2,67,72,18240,240
3,46,72,18240,120
3,35,72,18240,120
3,46,72,18360,120
2,64,72,18480,240
3,46,72,18480,120
3,46,72,18600,120
2,60,72,18720,240
3,46,72,18720,120
3,38,72,18720,120
3,46,72,18840,120
2,64,72,18960,240
3,46,72,18960,120
3,46,72,19080,120
1,79,72,19200,960
2,64,72,19200,240
3,46,72,19200,120
3,35,72,19200,120
3,46,72,19320,120
2,61,72,19440,240
3,46,72,19440,120
3,46,72,19560,120
2,57,72,19680,240
3,46,72,19680,120
3,38,72,19680,120
3,46,72,19800,120
2,61,72,19920,240
3,46,72,19920,120
3,46,72,20040,120
1,81,72,20160,960
2,64,72,20160,240
3,46,72,20160,120
3,35,72,20160,120
3,46,72,20280,120
2,61,72,20400,240
3,46,72,20400,120
3,46,72,20520,120
2,57,72,20640,240
3,46,72,20640,120
3,38,72,20640,120
3,46,72,20760,120
2,61,72,20880,240
3,46,72,20880,120
3,46,72,21000,120
1,79,72,21120,960
2,64,72,21120,240
3,46,72,21120,120
3,35,72,21120,120
3,46,72,21240,120
2,61,72,21360,240
3,46,72,21360,120
3,46,72,21480,120
2,57,72,21600,240
3,46,72,21600,120
3,38,72,21600,120
3,46,72,21720,120
2,61,72,21840,240
3,46,72,21840,120
3,46,72,21960,120
1,77,72,22080,960
2,64,72,22080,240
3,46,72,22080,120
3,35,72,22080,120
3,46,72,22200,120
2,61,72,22320,240
3,46,72,22320,120
3,46,72,22440,120
2,57,72,22560,240
3,46,72,22560,120
3,38,72,22560,120
3,46,72,22680,120
2,61,72,22800,240
3,46,72,22800,120
3,46,72,22920,120
2,65,72,23040,240
3,46,72,23040,120
3,35,72,23040,120
3,57,72,23040,120
3,46,72,23160,120
2,62,72,23280,240
3,46,72,23280,120
3,46,72,23400,120
1,77,72,23520,480
2,57,72,23520,240
3,46,72,23520,120
3,38,72,23520,120
3,46,72,23640,120
2,62,72,23760,240
3,46,72,23760,120
3,46,72,23880,120
1,77,72,24000,480
2,65,72,24000,240
3,46,72,24000,120
3,35,72,24000,120
3,46,72,24120,120
2,62,72,24240,240
3,46,72,24240,120
3,46,72,24360,120
1,77,72,24480,480
2,57,72,24480,240
3,46,72,24480,120
3,38,72,24480,120
3,46,72,24600,120
2,62,72,24720,240
3,46,72,24720,120
3,46,72,24840,120
1,81,72,24960,480
2,65,72,24960,240
3,46,72,24960,120
3,35,72,24960,120
3,46,72,25080,120
